"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies HTAN MSK - Transcriptional connectivity of regulatory T cells in the tumor microenvironment informs novel combination cancer therapy strategies","7 tissues","lung adenocarcinoma","10x 3' v2 10x 3' v3","Homo sapiens","82,991","Download Explore"
"Bipolar cells in human retina Single-cell transcriptomic atlas for adult human retina","3 tissues","normal","10x 3' v3","Homo sapiens","53,040","Download Explore"
"Differentiating white preadipocytes (cell culture) Mapping the transcriptional landscape of human white and brown adipogenesis using single-nuclei RNA-seq","preadipocyte (primary cell culture)","normal","10x 3' v3","Homo sapiens","25,339","Download Explore"
"Photoreceptor cells in human retina (rod cells downsampled) Single-cell transcriptomic atlas for adult human retina","3 tissues","normal","10x 3' v3","Homo sapiens","21,422","Download Explore"
"Horizontal cells in human retina Single-cell transcriptomic atlas for adult human retina","3 tissues","normal","10x 3' v3","Homo sapiens","7,348","Download Explore"
"Non-neuronal cells in human retina Single-cell transcriptomic atlas for adult human retina","3 tissues","normal","10x 3' v3","Homo sapiens","18,011","Download Explore"
"white matter - microglia Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","3,851","Download Explore"
"white matter - oligodendroglia Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","21,968","Download Explore"
"white matter - all cells Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","45,528","Download Explore"
"white matter - astrocytes Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","3,596","Download Explore"
"white matter - neurons Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","10,734","Download Explore"
"white matter - vascular cells Brain matters: Unveiling the Distinct Contributions of Region, Age, and Sex to Glia diversity and CNS Function","3 tissues","normal","10x 3' v3","Homo sapiens","4,880","Download Explore"
"A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease A Unique Cellular Organization of Human Distal Airways and Its Disarray in Chronic Obstructive Pulmonary Disease","3 tissues","chronic obstructive pulmonary disease normal","10x 3' v2 10x 3' v3","Homo sapiens","115,788","Download Explore"
"High-Resolution Transcriptomic Landscape of the Human Submandibular Gland High-Resolution Transcriptomic Landscape of the Human Submandibular Gland","submandibular gland","normal","10x 3' v3","Homo sapiens","15,684","Download Explore"
"All donors all cell states (in vivo) Spatial multiomics map of trophoblast development in early pregnancy","4 tissues","normal","3 assays","Homo sapiens","325,665","Download Explore"
"WS_PLA_S9101765 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WS_PLA_S9101766 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WS_PLA_S9101767 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WS_PLA_S9101770 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Pla_HDBR9518710 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"donor_p13_trophoblasts Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","10x 3' v3 10x multiome","Homo sapiens","37,675","Download Explore"
"Pla_Camb9518737 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All donors trophoblasts Spatial multiomics map of trophoblast development in early pregnancy","3 tissues","normal","3 assays","Homo sapiens","75,042","Download Explore"
"Trophoblast_stemcells Spatial multiomics map of trophoblast development in early pregnancy","trophoblast cell (primary cell culture)","normal","10x 3' v3","Homo sapiens","9,957","Download Explore"
"WS_PLA_S9101764 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WS_PLA_S9101769 Spatial multiomics map of trophoblast development in early pregnancy","decidua basalis","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"primary_trophoblast_organoid Spatial multiomics map of trophoblast development in early pregnancy","trophoblast (organoid)","normal","10x 3' v3","Homo sapiens","26,853","Download Explore"
"Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas Intratumoral heterogeneity in recurrent pediatric pilocytic astrocytomas","cerebellum","normal pilocytic astrocytoma","10x 3' v3","Homo sapiens","35,637","Download Explore"
"UMAP of Endothelial cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","8 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","3,951","Download Explore"
"UMAP of Columnar cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","8 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","79,522","Download Explore"
"UMAP of T-Cells cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","9 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","14,970","Download Explore"
"UMAP of Plasma and B-Cells cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","8 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","9,015","Download Explore"
"UMAP of Cancer Data integration Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","9 tissues","normal 4 diseases","3 assays","Homo sapiens","293,823","Download Explore"
"UMAP of all data Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","9 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","146,583","Download Explore"
"UMAP of Fibroblasts cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","6 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","5,754","Download Explore"
"UMAP of Myeloid cells Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia","9 tissues","normal 3 diseases","10x 3' v2 10x 3' v3","Homo sapiens","3,282","Download Explore"
"immune cells Emphysema Cell Atlas","alveolus of lung","normal pulmonary emphysema","10x 3' v3","Homo sapiens","35,699","Download Explore"
"non-immune cells Emphysema Cell Atlas","alveolus of lung","normal pulmonary emphysema","10x 3' v3","Homo sapiens","18,386","Download Explore"
"AT2 cells Emphysema Cell Atlas","alveolus of lung","normal pulmonary emphysema","10x 3' v3","Homo sapiens","3,662","Download Explore"
"TI epithelial The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","6 tissues","Crohn disease normal","10x 3' v2 10x 3' v3","Homo sapiens","154,136","Download Explore"
"colon immune The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","10 tissues","Crohn disease normal","3 assays","Homo sapiens","152,509","Download Explore"
"colon epithelial The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","10 tissues","Crohn disease normal","3 assays","Homo sapiens","97,788","Download Explore"
"TI immune The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","6 tissues","Crohn disease normal","10x 3' v2 10x 3' v3","Homo sapiens","201,072","Download Explore"
"colon stromal The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","9 tissues","Crohn disease normal","3 assays","Homo sapiens","39,433","Download Explore"
"TI stromal The landscape of immune dysregulation in Crohn’s disease revealed through single-cell transcriptomic profiling in the ileum and colon","5 tissues","Crohn disease normal","10x 3' v2 10x 3' v3","Homo sapiens","75,695","Download Explore"
"Fibroblasts A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","20,515","Download Explore"
"WSA_LngSP9258464 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Smooth muscle cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","5,156","Download Explore"
"WSA_LngSP10972074 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","trachea","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP10972073 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Lymphoid cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","37,502","Download Explore"
"B cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","3,699","Download Explore"
"WSA_LngSP8759311 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP9258463 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP10193345 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","lung parenchyma","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP10972072 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP10972075 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","trachea","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP9258467 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All cells and nuclei A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","193,108","Download Explore"
"Late tip organoid Organoid modeling of human fetal lung alveolar development reveals mechanisms of cell fate patterning and neonatal respiratory disease","lung epithelium (organoid)","normal","10x 5' v1","Homo sapiens","20,475","Download Explore"
"WSA_LngSP10193348 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP10193347 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","lung parenchyma","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"WSA_LngSP8759312 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"UMAP visualization of all 12 datasets Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin","3 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","15,243","Download Explore"
"WSA_LngSP9258468 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Vascular endothelial cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","20,855","Download Explore"
"UMAP visualization of keratinocyte subclusters Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin","skin epidermis skin of body","normal","10x 3' v2 10x 3' v3","Homo sapiens","9,471","Download Explore"
"Myeloid cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","40,634","Download Explore"
"Airway epithelial cells A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","5 tissues","normal","3 assays","Homo sapiens","29,505","Download Explore"
"WSA_LngSP8759313 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","bronchus","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"UMAP visualization of fibroblast subclusters Differential cell composition and split epidermal differentiation in human palm, sole, and hip skin","dermis skin of body","normal","10x 3' v2 10x 3' v3","Homo sapiens","2,303","Download Explore"
"WSA_LngSP10193346 A spatially resolved atlas of the human lung characterizes a gland-associated immune niche","lung parenchyma","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Integrated adult and foetal hearts Integrated adult and foetal heart single-cell RNA sequencing","7 tissues","normal","10x 3' v2 10x 3' v3","Homo sapiens","60,668","Download Explore"
"Single cell RNA-seq data from normal adult kidney tissue HCA kidney seed network: University of Michigan","cortex of kidney","normal","10x 3' v3","Homo sapiens","48,783","Download Explore"
"MSK SPECTRUM - CD4+ T cells, CD8+ T cells, ILCs and NK cells MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion","19 tissues","malignant ovarian serous tumor","10x 3' v3","Homo sapiens","221,315","Download Explore"
"MSK SPECTRUM – All cells MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion","19 tissues","malignant ovarian serous tumor","10x 3' v3","Homo sapiens","927,205","Download Explore"
"MSK SPECTRUM - Macrophages MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion","19 tissues","malignant ovarian serous tumor","10x 3' v3","Homo sapiens","166,895","Download Explore"
"MSK SPECTRUM - Dendritic cells MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion","19 tissues","malignant ovarian serous tumor","10x 3' v3","Homo sapiens","24,025","Download Explore"
"MSK SPECTRUM - Malignant and non-malignant epithelial cells MSK SPECTRUM – Ovarian cancer mutational processes drive site-specific immune evasion","19 tissues","malignant ovarian serous tumor","10x 3' v3","Homo sapiens","210,107","Download Explore"
"Living donor kidney Healthy living donor kidney","cortex of kidney","normal","10x 3' v3","Homo sapiens","27,675","Download Explore"
"pcw17_6332STDY9479173 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499408 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499413 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"10X Visium spatial transcriptomics on tumor core tissue sections Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","10,924","Download Explore"
"Fallopian tube RNA A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing","3 tissues","normal","10x 3' v3 Drop-seq","Homo sapiens","60,574","Download Explore"
"Myeloid A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","6,947","Download Explore"
"pcw16_6332STDY9479168 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499505 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw19_6332STDY10289523 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw20_6332STDY10289522 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"10X Visium spatial transcriptomics on tumor-normal interface tissue sections Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","27,912","Download Explore"
"6800STDY12499509 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Single-cell transcriptomic datasets of Renal cell carcinoma patients Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","5 tissues","normal 3 diseases","10x 5' transcription profiling","Homo sapiens","270,855","Download Explore"
"Endothelium A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","5,467","Download Explore"
"pcw14_6332STDY9479167 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499503 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Cilium A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","1,641","Download Explore"
"6800STDY12499411 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Fallopian tube ATAC A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing","3 tissues","normal","10x scATAC-seq","Homo sapiens","40,803","Download Explore"
"Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease Anomalous Epithelial Variations and Ectopic Inflammatory Response in Chronic Obstructive Pulmonary Disease","lung parenchyma","chronic obstructive pulmonary disease normal","10x 3' v3","Homo sapiens","57,918","Download Explore"
"pcw20_6332STDY10289520 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Fibroblast and smooth muscle A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","39,204","Download Explore"
"6800STDY12499506 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw12_6332STDY9479170 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499406 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw17_6332STDY9479169 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499508 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Epithelium (no cilium) A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","9,096","Download Explore"
"B cells A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","4,138","Download Explore"
"6800STDY12499504 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499410 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499409 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"6800STDY12499412 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"PNS A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","649","Download Explore"
"6800STDY12499507 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw20_6332STDY10289521 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Ovary RNA A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing","ovary","normal","10x 3' v3 Drop-seq","Homo sapiens","26,134","Download Explore"
"6800STDY12499502 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"pcw14_6332STDY9479171 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"All cells A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","71,752","Download Explore"
"pcw16_6332STDY9479172 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Organoid A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung lung (organoid)","normal","10x 5' v1","Homo sapiens","70,495","Download Explore"
"6800STDY12499407 Mapping single-cell transcriptomes in the intra-tumoral and associated territories of kidney cancer","kidney","nonpapillary renal cell carcinoma","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"T, NK and ILC A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","10x 5' v1","Homo sapiens","4,778","Download Explore"
"pcw12_6332STDY9479166 A human fetal lung cell atlas uncovers proximal-distal gradients of differentiation and key regulators of epithelial fates","lung","normal","Visium Spatial Gene Expression V1","Homo sapiens","4,992","Download Explore"
"Ovary ATAC A molecular atlas of the human postmenopausal fallopian tube and ovary from single-cell RNA and ATAC sequencing","ovary","normal","10x scATAC-seq","Homo sapiens","18,315","Download Explore"
"Human pancreatic islet cells A transcriptional cross species map of pancreatic islet cells","islet of Langerhans","normal","10x 3' v2","Homo sapiens","26,474","Download Explore"
"The single-cell lung cancer atlas (LuCA) -- extended atlas High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer","6 tissues","normal 4 diseases","9 assays","Homo sapiens","1,283,972","Download Explore"
"The single-cell lung cancer atlas (LuCA) -- core atlas High-resolution single-cell atlas reveals diversity and plasticity of tumor-associated neutrophils in non-small cell lung cancer","6 tissues","normal 4 diseases","9 assays","Homo sapiens","892,296","Download Explore"
"Aortic cell types of ascending aorta Aortic Cellular Diversity and Quantitative Genome-Wide Association Study Trait Prioritization Through Single-Nuclear RNA Sequencing of the Aneurysmal Human Aorta","ascending aorta","aortic aneurysm normal","10x 3' v3","Homo sapiens","71,689","Download Explore"
"Nasal scRNA-Seq Dataset Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways","nasal cavity epithelium","normal","10x 3' v2","Homo sapiens","34,833","Download Explore"
"Bronchial scRNA-Seq Dataset Smoking modulates different secretory subpopulations expressing SARS-CoV-2 entry genes in the nasal and bronchial airways","bronchial mucosa","normal","CEL-seq2","Homo sapiens","2,075","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_09 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","14,990","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220408_07 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","40,982","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_08 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","18,851","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220215_13 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","27,757","Download Explore"
"Normal Lymph Node Puck_201014_06 Spatially mapping T cell receptors and transcriptomes","lymph node","normal","Slide-seqV2","Homo sapiens","26,027","Download Explore"
"Normal Tonsil Puck_210119_22 Spatially mapping T cell receptors and transcriptomes","tonsil","normal","Slide-seqV2","Homo sapiens","26,917","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220215_14 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","36,785","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_13 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","40,217","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_14 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","37,568","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_200727_10 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","15,366","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_20 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","37,563","Download Explore"
"Renal cell carcinoma, pre aPD1, kidney Puck_200727_13 Spatially mapping T cell receptors and transcriptomes","kidney","renal cell carcinoma","Slide-seqV2","Homo sapiens","20,021","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220408_08 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","19,034","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220408_09 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","37,275","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220215_11 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","21,003","Download Explore"
"Renal cell carcinoma, pre aPD1, kidney Puck_200727_12 Spatially mapping T cell receptors and transcriptomes","kidney","renal cell carcinoma","Slide-seqV2","Homo sapiens","17,612","Download Explore"
"Renal cell carcinoma, post aPD1, lung metastasis Puck_220408_15 Spatially mapping T cell receptors and transcriptomes","lung","renal cell carcinoma","Slide-seqV2","Homo sapiens","35,839","Download Explore"
"Cutaneous melanoma, lymph node metastasis Puck_220408_12 Spatially mapping T cell receptors and transcriptomes","lymph node","metastatic melanoma","Slide-seqV2","Homo sapiens","37,193","Download Explore"
