"Datasets 1544 of 2067","Tissue","Disease","Assay","Organism","Cells",""
"Human abdominal subcutaneous and intraabdominal white adipose tissue - 22 integrated samples Single-Nucleus Analysis of Human White Adipose Tissue Reveals Adipocyte Subsets with Distinct Metabolic Profiles","subcutaneous abdominal adipose tissue visceral abdominal adipose tissue","normal","10x 3' v3","Homo sapiens","72,335","Download Explore"
"plaque atlas Plaque Atlas","3 tissues","atherosclerosis","10x 3' v2 10x 3' v3","Homo sapiens","259,116","Download Explore"
"Immune aging project - myeloid cell subset Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age","10 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","225,268","Download Explore"
"Immune aging project - innate lymphoid cell subset Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age","10 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","130,414","Download Explore"
"Immune aging project - t cell subset Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age","10 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","610,429","Download Explore"
"Immune aging project - all cells Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age","14 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","1,281,499","Download Explore"
"Immune aging project - b cell subset Multimodal profiling reveals tissue-directed signatures of human immune cells altered with age","10 tissues","normal","10x 3' v3 10x 5' v2","Homo sapiens","272,162","Download Explore"
"Cystic Fibrosis and healthy control biopsies Cystic Fibrosis and healthy control biopsy","carina of trachea respiratory tube","cystic fibrosis normal","10x 3' v2 10x 3' v3","Homo sapiens","96,479","Download Explore"
"A molecular cell atlas of endocrine signalling in human neural organoids Neural Organoid Hormonal Atlas (NOHA)","forebrain (organoid)","normal","10x 3' v3","Homo sapiens","163,714","Download Explore"
"Human PBMC Glaucoma Atlas Human PBMC Glaucoma Atlas - Immune Tolerance to HSP60 Attenuates Neurodegeneration in Glaucoma","blood","normal open-angle glaucoma","10x 5' v2","Homo sapiens","207,952","Download Explore"
